"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"htmltools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.5.6.1",NA,NA,NA,NA
"htmlwidgets","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.5.4",NA,NA,NA,NA
"httpcode","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.0",NA,NA,NA,NA
"httpuv","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.6.5",NA,NA,NA,NA
"httr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4.6",NA,NA,NA,NA
"httr2","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.3",NA,NA,NA,NA
"hunspell","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.0.2",NA,NA,NA,NA
"ids","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.1",NA,NA,NA,NA
"import","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.1",NA,NA,NA,NA
"ini","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.1",NA,NA,NA,NA
"insight","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.19.1",NA,NA,NA,NA
"isoband","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.7",NA,NA,NA,NA
"janeaustenr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.0",NA,NA,NA,NA
"janitor","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.2.0",NA,NA,NA,NA
"jquerylib","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.4",NA,NA,NA,NA
"jsonlite","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.8.7",NA,NA,NA,NA
"kableExtra","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.4",NA,NA,NA,NA
"knitr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.38",NA,NA,NA,NA
"labeling","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.2",NA,NA,NA,NA
"later","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.1",NA,NA,NA,NA
"lazyeval","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.2",NA,NA,NA,NA
"leaflet","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1.1",NA,NA,NA,NA
"leaflet.providers","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.9.0",NA,NA,NA,NA
"lifecycle","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.3",NA,NA,NA,NA
"listenv","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.9.0",NA,NA,NA,NA
"lme4","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1-29",NA,NA,NA,NA
"lubridate","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.8.0",NA,NA,NA,NA
"magick","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.7.4",NA,NA,NA,NA
"magrittr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.3",NA,NA,NA,NA
"markdown","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1",NA,NA,NA,NA
"memoise","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.1",NA,NA,NA,NA
"mime","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.12",NA,NA,NA,NA
"miniUI","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.1.1",NA,NA,NA,NA
"minqa","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.5",NA,NA,NA,NA
"mitools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.4",NA,NA,NA,NA
"mnormt","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.2",NA,NA,NA,NA
"modelr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.8",NA,NA,NA,NA
"munsell","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.5.0",NA,NA,NA,NA
"nloptr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.0",NA,NA,NA,NA
"numDeriv","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2016.8-1.1",NA,NA,NA,NA
"officer","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.6.2",NA,NA,NA,NA
"openssl","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.6",NA,NA,NA,NA
"openxlsx","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","4.2.5.2",NA,NA,NA,NA
"packrat","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.9.1",NA,NA,NA,NA
"parallelly","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.35.0",NA,NA,NA,NA
"pdftools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.2.0",NA,NA,NA,NA
"pillar","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.7.0",NA,NA,NA,NA
"pkgbuild","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.1",NA,NA,NA,NA
"pkgconfig","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.3",NA,NA,NA,NA
"pkgload","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.4",NA,NA,NA,NA
"plyr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.8.8",NA,NA,NA,NA
"png","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1-8",NA,NA,NA,NA
"polyclip","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.10-4",NA,NA,NA,NA
"praise","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.0",NA,NA,NA,NA
"prettyunits","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1.1",NA,NA,NA,NA
"processx","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.8.1",NA,NA,NA,NA
"progress","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.2",NA,NA,NA,NA
"promises","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.0.1",NA,NA,NA,NA
"proxy","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4-27",NA,NA,NA,NA
"ps","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.7.5",NA,NA,NA,NA
"purrr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.4",NA,NA,NA,NA
"qpdf","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1",NA,NA,NA,NA
"quantreg","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","5.88",NA,NA,NA,NA
"R6","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.5.1",NA,NA,NA,NA
"ragg","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.5",NA,NA,NA,NA
"randomizr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.22.0",NA,NA,NA,NA
"rappdirs","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.3",NA,NA,NA,NA
"raster","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.5-15",NA,NA,NA,NA
"rcmdcheck","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4.0",NA,NA,NA,NA
"RColorBrewer","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1-3",NA,NA,NA,NA
"Rcpp","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.10",NA,NA,NA,NA
"RcppEigen","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.3.9.3",NA,NA,NA,NA
"readr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1.2",NA,NA,NA,NA
"readxl","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4.0",NA,NA,NA,NA
"rematch","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.1",NA,NA,NA,NA
"rematch2","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1.2",NA,NA,NA,NA
"remotes","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.4.2",NA,NA,NA,NA
"renv","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.3",NA,NA,NA,NA
"reprex","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.1",NA,NA,NA,NA
"Require","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.1",NA,NA,NA,NA
"rlang","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1.1",NA,NA,NA,NA
"rmarkdown","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.25",NA,NA,NA,NA
"robotstxt","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.7.13",NA,NA,NA,NA
"roxygen2","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","7.1.2",NA,NA,NA,NA
"rprojroot","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.0.3",NA,NA,NA,NA
"rsconnect","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1.1",NA,NA,NA,NA
"RSelenium","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.7.7",NA,NA,NA,NA
"rstudioapi","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.14",NA,NA,NA,NA
"rticles","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.23",NA,NA,NA,NA
"rversions","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1.2",NA,NA,NA,NA
"rvest","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.2",NA,NA,NA,NA
"s2","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.7",NA,NA,NA,NA
"sass","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.1",NA,NA,NA,NA
"scales","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.1",NA,NA,NA,NA
"selectr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4-2",NA,NA,NA,NA
"semver","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,NA,NA,NA
"sessioninfo","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.2",NA,NA,NA,NA
"sf","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0-7",NA,NA,NA,NA
"shiny","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.8.0",NA,NA,NA,NA
"snakecase","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.11.0",NA,NA,NA,NA
"SnowballC","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.7.1",NA,NA,NA,NA
"sourcetools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.7-1",NA,NA,NA,NA
"sp","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.6-0",NA,NA,NA,NA
"SparseM","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.81",NA,NA,NA,NA
"spiderbar","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.4",NA,NA,NA,NA
"stringi","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.7.12",NA,NA,NA,NA
"stringr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4.0",NA,NA,NA,NA
"survey","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","4.1-1",NA,NA,NA,NA
"svglite","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1.0",NA,NA,NA,NA
"sys","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.4.1",NA,NA,NA,NA
"systemfonts","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.4",NA,NA,NA,NA
"terra","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.5-21",NA,NA,NA,NA
"testthat","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.1.3",NA,NA,NA,NA
"textshaping","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.6",NA,NA,NA,NA
"tibble","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.1.6",NA,NA,NA,NA
"tidyr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,NA,NA,NA
"tidyselect","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.0",NA,NA,NA,NA
"tidytext","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.2",NA,NA,NA,NA
"tidyverse","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.1",NA,NA,NA,NA
"timechange","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.0",NA,NA,NA,NA
"tinytex","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.38",NA,NA,NA,NA
"tippy","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.0",NA,NA,NA,NA
"tokenizers","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.1",NA,NA,NA,NA
"triebeard","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.1",NA,NA,NA,NA
"tweenr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.2",NA,NA,NA,NA
"tzdb","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.3.0",NA,NA,NA,NA
"units","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.8-0",NA,NA,NA,NA
"updater","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.1.1",NA,NA,NA,NA
"urlchecker","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.1",NA,NA,NA,NA
"urltools","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.7.3",NA,NA,NA,NA
"usethis","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.1.5",NA,NA,NA,NA
"utf8","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.2.3",NA,NA,NA,NA
"uuid","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.1-0",NA,NA,NA,NA
"vctrs","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.1",NA,NA,NA,NA
"viridis","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.6.2",NA,NA,NA,NA
"viridisLite","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.2",NA,NA,NA,NA
"vroom","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.5.7",NA,NA,NA,NA
"waldo","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.0",NA,NA,NA,NA
"wdman","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.2.5",NA,NA,NA,NA
"webshot","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.5.2",NA,NA,NA,NA
"whisker","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.4.1",NA,NA,NA,NA
"withr","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.5.0",NA,NA,NA,NA
"wk","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.7.3",NA,NA,NA,NA
"writexl","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.4.0",NA,NA,NA,NA
"xfun","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","0.39",NA,NA,NA,NA
"XML","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","3.99-0.9",NA,NA,NA,NA
"xml2","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.3.4",NA,NA,NA,NA
"xopen","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.0.0",NA,NA,NA,NA
"xtable","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.8-4",NA,NA,NA,NA
"yaml","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.3.7",NA,NA,NA,NA
"zip","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","2.3.0",NA,NA,NA,NA
"zoo","C:/Users/Felix/OneDrive/Documents/R/win-library/4.0","1.8-12",NA,NA,NA,NA
