"report_namePKO";"hostilityGov_None";"hostilityGov_VerbalRestrictions";"hostilityGov_PhysicalRestrictions";"hostilityGov_ViolentRestrictions";"hostilityOther_None";"hostilityOther_VerbalRestrictions";"hostilityOther_PhysicalRestrictions";"hostilityOther_ViolentRestrictions";"abuseAllegations";"abuseInvestigation";"sexualViolenceAllegation";"sexualViolenceInvestigation";"DDRprogress"
"65";"UNTAES_S/1996/622";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"66";"UNTAES_S/1996/472";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"67";"UNPSG_S/1998/887";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"68";"UNPSG_S/1998/500";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"69";"UNMOP_S/1996/180";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"70";"UNMIBH_S/2002/1314";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"71";"UNMIBH_S/2002/618";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"72";"UNMIBH_S/2001/1132";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"73";"UNMIBH_S/2001/571";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"NO_INFO"
"74";"UNMIBH_S/2000/1137";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"NO_INFO"
"75";"UNMIBH_S/2000/529";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"76";"UNMIBH_S/2000/215";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"77";"UNMIBH_S/1999/1260";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"78";"UNMIBH_S/1999/989";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"79";"UNMIBH_S/1999/670";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"80";"UNMIBH_S/1999/284";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"81";"UNMIBH_S/1998/1174";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"82";"UNMIBH_S/1998/862";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"83";"UNMIBH_S/1998/491";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"84";"UNMIBH_S/1997/966";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"85";"UNMIBH_S/1998/227";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"NO_INFO"
"86";"UNMIBH_S/1997/649";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"87";"UNMIBH_S/1997/468";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"88";"UNMIBH_S/1997/224";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"89";"UNMIBH_S/1996/1017";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"90";"UNMIBH_S/1996/820";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"91";"UNMIBH_S/1996/460";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"92";"UNMIBH_S/1996/210";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"93";"UNOMIG_S/2009/254";"False";"False";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"94";"UNOMIG_S/2009/69";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"95";"UNOMIG_S/2008/631";"True";"False";"False";"False";"False";"True";"True";"True";"False";"False";"False";"False";"NO_INFO"
"96";"UNOMIG_S/2008/480";"False";"False";"False";"True";"False";"True";"True";"False";"False";"False";"False";"False";"NO_INFO"
"97";"UNOMIG_S/2008/219";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"98";"UNOMIG_S/2008/38";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"99";"UNOMIG_S/2007/588";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"100";"UNOMIG_S/2007/439";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"101";"UNOMIG_S/2007/182";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"102";"UNOMIG_S/2007/15";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"103";"UNOMIG_S/2006/771";"True";"False";"False";"False";"False";"True";"True";"True";"False";"False";"False";"False";"NO_INFO"
"104";"UNOMIG_S/2006/435";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"105";"UNOMIG_S/2006/173";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"106";"UNOMIG_S/2006/19";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"107";"UNOMIG_S/2005/657";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"108";"UNOMIG_S/2005/453";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"109";"UNOMIG_S/2005/269";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"110";"UNOMIG_S/2005/32";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"111";"UNOMIG_S/2004/822";"True";"False";"False";"False";"False";"False";"True";"True";"False";"False";"False";"False";"NO_INFO"
"112";"UNOMIG_S/2004/570";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"113";"UNOMIG_S/2004/26";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"114";"UNMIK_S/2018/981";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"115";"UNMIK_S/2018/747";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"116";"UNMIK_S/2018/407";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"117";"UNMIK_S/2018/76";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"118";"UNMIK_S/2017/911";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"119";"UNMIK_S/2017/387";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"120";"UNMIK_S/2017/95/rev1";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"121";"UNMIK_S/2016/901";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"122";"UNMIK_S/2016/666";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"123";"UNMIK_S/2016/407";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"124";"UNMIK_S/2016/99";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"125";"UNMIK_S/2015/833";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"126";"UNMIK_S/2015/579";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"127";"UNMIK_S/2015/303";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"128";"UNMIK_S/2015/74";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"129";"UNMIK_S/2014/773";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"130";"UNMIK_S/2014/558";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"131";"UNOMIG_S/2003/1019";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"132";"UNOMIG_S/2003/751";"True";"False";"False";"False";"True";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"133";"UNOMIG_S/2003/412";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"134";"UNOMIG_S/2002/1141";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"135";"UNOMIG_S/2002/742";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"136";"UNOMIG_S/2002/469";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"137";"UNOMIG_S/2002/88";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"138";"UNOMIG_S/2001/1008";"False";"True";"False";"False";"False";"True";"True";"False";"False";"False";"False";"False";"NO_INFO"
"139";"UNOMIG_S/2001/713";"False";"False";"True";"True";"False";"True";"False";"True";"True";"False";"False";"False";"NO_INFO"
"140";"UNMIK_S/2014/305";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"141";"UNMIK_S/2014/68";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"142";"UNMIK_S/2013/631";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"143";"UNMIK_S/2013/444";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"144";"UNMIK_S/2013/254";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"145";"UNMIK_S/2013/72";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"146";"UNMIK_S/2012/818";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"147";"UNMIK_S/2012/603";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"148";"UNMIK_S/2012/275";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"149";"UNMIK_S/2012/72";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"150";"UNMIK_S/2011/675";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"151";"UNMIK_S/2011/514";"False";"False";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"152";"UNOMIG_S/2001/401";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"153";"UNMIK_S/2011/43";"False";"True";"False";"False";"False";"True";"False";"True";"True";"True";"False";"False";"COMPLETED"
"154";"UNMIK_S/2010/562";"False";"True";"False";"False";"False";"True";"False";"False";"True";"True";"False";"False";"COMPLETED"
"155";"UNOMIG_S/2001/59";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"NO_INFO"
"156";"UNOMIG_S/2000/1023";"True";"False";"False";"False";"False";"True";"False";"True";"False";"False";"False";"False";"NO_INFO"
"157";"UNOMIG_S/2000/697";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"158";"UNOMIG_S/2000/345";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"159";"UNOMIG_S/2000/39";"True";"False";"False";"False";"False";"False";"True";"True";"False";"False";"False";"False";"NO_INFO"
"160";"UNMIK_S/2010/401";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"161";"UNMIK_S/2010/169";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"162";"UNMIK_S/2010/5";"True";"False";"False";"False";"False";"False";"False";"True";"True";"True";"False";"False";"COMPLETED"
"163";"UNMIK_S/2009/497";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"164";"UNMIK_S/2009/300";"True";"False";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"COMPLETED"
"165";"UNMIK_S/2009/149";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"166";"UNMIK_S/2008/692";"False";"True";"True";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"167";"UNMIK_S/2008/458";"False";"True";"True";"False";"False";"True";"False";"True";"True";"True";"False";"False";"COMPLETED"
"168";"UNMIK_S/2008/211";"False";"True";"False";"False";"False";"True";"False";"True";"False";"False";"False";"False";"COMPLETED"
"169";"UNMIK_S/2007/768";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"170";"UNMIK_S/2007/582";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"171";"UNMIK_S/2007/395";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"172";"UNMIK_S/2007/134";"True";"False";"False";"False";"False";"True";"False";"True";"False";"False";"False";"False";"COMPLETED"
"173";"UNMIK_S/2006/906";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"174";"UNMIK_S/2006/707";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"175";"UNMIK_S/2006/361";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"176";"UNMIK_S/2006/45";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"177";"UNMIK_S/2005/335";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"178";"UNOMIG_S/1999/805";"False";"True";"True";"False";"False";"False";"True";"True";"False";"False";"False";"False";"NO_INFO"
"179";"UNOMIG_S/1999/60";"True";"False";"False";"False";"False";"False";"True";"True";"False";"False";"False";"False";"NO_INFO"
"180";"UNOMIG_S/1998/1012";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"False";"False";"NO_INFO"
"181";"UNMIK_S/2005/88";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"182";"UNMIK_S/2004/907";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"183";"UNMIK_S/2004/613";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"COMPLETED"
"184";"UNMIK_S/2004/348";"False";"True";"False";"False";"False";"True";"False";"True";"False";"False";"False";"False";"COMPLETED"
"185";"UNMIK_S/2004/71";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"186";"UNOMIG_S/1998/647/Add.1";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"187";"UNOMIG_S/1998/647";"False";"False";"True";"False";"False";"True";"False";"True";"False";"False";"False";"False";"NO_INFO"
"188";"UNOMIG_S/1998/497";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
